satici_tip,Metrekare,Oda_Sayisi,il,Ilce,Mahalle,Tarih,fiyat
Sahibinden,135.0,3+1,Istanbul,Esenyurt,Bilinmiyor,14 Mayıs  2025,3650000
Sahibinden,230.0,3+1,Istanbul,Bakırköy,Yeşilköy,13 Mayıs  2025,22000000
Sahibinden,90.0,2+1,Istanbul,Küçükçekmece,Merkez,13 Mayıs  2025,3850000
Sahibinden,90.0,2+1,Istanbul,Beylikdüzü,Yakuplu,09 Mayıs  2025,4150000
Sahibinden,90.0,2+1,Istanbul,Bağcılar,Barbaros/Yeşilbağ,09 Mayıs  2025,8200000
Sahibinden,125.0,2+1,Istanbul,Sultangazi,Sultançiftliği,07 Mayıs  2025,8150000
Sahibinden,170.0,3+1,Istanbul,Kartal,Rahmanlar (Atalar),06 Mayıs  2025,12750000
Sahibinden,95.0,2+1,Istanbul,Ümraniye,Atakent,04 Mayıs  2025,8450000
Sahibinden,65.0,1+1,Istanbul,Kadıköy,Caferağa,03 Mayıs  2025,7000000
Sahibinden,114.0,2+1,Istanbul,Çekmeköy,Taşdelen,03 Mayıs  2025,7999000
Sahibinden,135.0,3+1,Istanbul,Esenyurt,Bilinmiyor,25 Mayıs  2025,1950000
Sahibinden,95.0,2+1,Istanbul,Esenler,Bilinmiyor,25 Mayıs  2025,2100000
Sahibinden,85.0,1+1,Istanbul,Şişli,Feriköy,25 Mayıs  2025,3200000
Sahibinden,160.0,3+2,Istanbul,Eyüpsultan,Göktürk,25 Mayıs  2025,9500000
Sahibinden,117.0,3+1,Istanbul,Bahçelievler,Merkez,25 Mayıs  2025,14000000
Sahibinden,67.0,1+1,Istanbul,Kağıthane,Bilinmiyor,25 Mayıs  2025,6100000
Sahibinden,100.0,3+1,Istanbul,Fatih,Yedikule,25 Mayıs  2025,5000000
Sahibinden,80.0,2+1,Istanbul,Tuzla,Mimarsinan,25 Mayıs  2025,3500000
Sahibinden,95.0,2+1,Istanbul,Tuzla,Mimarsinan,25 Mayıs  2025,4750000
Sahibinden,100.0,2+1,Istanbul,Bahçelievler,Kocasinan,25 Mayıs  2025,4600000
Sahibinden,90.0,2+1,Istanbul,Ümraniye,Tepeüstü,25 Mayıs  2025,3800000
Sahibinden,60.0,2+1,Istanbul,Kağıthane,Gültepe,25 Mayıs  2025,2470000
Sahibinden,135.0,3+1,Istanbul,Esenyurt,Bilinmiyor,25 Mayıs  2025,4750000
Sahibinden,110.0,2+1,Istanbul,Sancaktepe,Yenidoğan,25 Mayıs  2025,2250000
Sahibinden,125.0,3+1,Istanbul,Bahçelievler,Cumhuriyet,25 Mayıs  2025,6750000
Sahibinden,85.0,2+1,Istanbul,Sultanbeyli,Necipfazıl,25 Mayıs  2025,4200000
Sahibinden,280.0,5+2,Istanbul,Büyükçekmece,Bilinmiyor,25 Mayıs  2025,16750000
Sahibinden,70.0,2+1,Istanbul,Sancaktepe,Sarıgazi,24 Mayıs  2025,4400000
Sahibinden,160.0,2+1,Istanbul,Ataşehir,Yeni Çamlıca,24 Mayıs  2025,4700000
Sahibinden,114.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3300000
Sahibinden,150.0,3+2,Istanbul,Başakşehir,İkitelli,24 Mayıs  2025,4350000
Sahibinden,95.0,2+1,Istanbul,Arnavutköy,Taşoluk,24 Mayıs  2025,4000000
Sahibinden,90.0,2+1,Istanbul,Sultanbeyli,Mehmetakif,24 Mayıs  2025,1850000
Sahibinden,110.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2250000
Sahibinden,145.0,3+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3550000
Sahibinden,110.0,2+1,Istanbul,Ümraniye,Tepeüstü,25 Mayıs  2025,3550000
Sahibinden,125.0,3+1,Istanbul,Küçükçekmece,Sefaköy,24 Mayıs  2025,4350000
Sahibinden,7.651,1+1,Istanbul,Çekmeköy,Taşdelen,24 Mayıs  2025,6200000
Sahibinden,110.0,2+1,Istanbul,Sultangazi,Zübeydehanım,24 Mayıs  2025,4200000
Sahibinden,118.0,3+1,Istanbul,Başakşehir,İkitelli,24 Mayıs  2025,7250000
Sahibinden,140.0,2+1,Istanbul,Maltepe,Zümrütevler,24 Mayıs  2025,4050000
Sahibinden,65.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1580000
Sahibinden,85.0,2+1,Istanbul,Eyüpsultan,Rami,24 Mayıs  2025,2950000
Sahibinden,80.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2600000
Sahibinden,120.0,3+1,Istanbul,Kağıthane,Hamidiye,24 Mayıs  2025,6500000
Sahibinden,180.0,3+1,Istanbul,Beykoz,Çavuşbaşı,24 Mayıs  2025,5350000
Sahibinden,80.0,2+1,Istanbul,Zeytinburnu,Çırpıcı,24 Mayıs  2025,3500000
Sahibinden,100.0,2+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,2150000
Sahibinden,120.0,3+1,Istanbul,Pendik,Çamçeşme,24 Mayıs  2025,2950000
Sahibinden,95.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3400000
Sahibinden,400.0,3+1,Istanbul,Sultangazi,Zübeydehanım,24 Mayıs  2025,3800000
Sahibinden,155.0,2+2,Istanbul,Eyüpsultan,Alibeyköy,24 Mayıs  2025,6500000
Sahibinden,111.0,2+1,Istanbul,Eyüpsultan,Çırçır,24 Mayıs  2025,3700000
Sahibinden,120.0,3+1,Istanbul,Güngören,Tozkoparan,24 Mayıs  2025,5600000
Sahibinden,110.0,2+1,Istanbul,Esenler,Karabayır,24 Mayıs  2025,2600000
Sahibinden,100.0,2+1,Istanbul,Gaziosmanpaşa,Fevziçakmak,24 Mayıs  2025,2900000
Sahibinden,205.0,3+1,Istanbul,Bahçelievler,Çobançeşme,24 Mayıs  2025,12500000
Sahibinden,80.0,2+1,Istanbul,Küçükçekmece,Sefaköy,24 Mayıs  2025,2980000
Sahibinden,95.0,2+1,Istanbul,Çatalca,Bilinmiyor,24 Mayıs  2025,4500000
Sahibinden,85.0,2+1,Istanbul,Bahçelievler,Kocasinan,24 Mayıs  2025,3340000
Sahibinden,85.0,2+1,Istanbul,Bahçelievler,Kocasinan,24 Mayıs  2025,3340000
Sahibinden,150.0,3+1,Istanbul,Başakşehir,Bahçeşehir,24 Mayıs  2025,6100000
Sahibinden,135.0,4+1,Istanbul,Avcılar,Bilinmiyor,24 Mayıs  2025,2895000
Sahibinden,70.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2190000
Sahibinden,110.0,1+1,Istanbul,Küçükçekmece,Halkalı,24 Mayıs  2025,7500000
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,4500000
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3500000
Sahibinden,130.0,3+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,4250000
Sahibinden,95.0,2+1,Istanbul,Bahçelievler,Zafer,24 Mayıs  2025,2400000
Sahibinden,125.0,3+1,Istanbul,Başakşehir,Bilinmiyor,24 Mayıs  2025,6800000
Sahibinden,100.0,2+1,Istanbul,Gaziosmanpaşa,Küçükköy,24 Mayıs  2025,4300000
Sahibinden,85.0,2+1,Istanbul,Pendik,Yenişehir,24 Mayıs  2025,3750000
Sahibinden,75.0,2+1,Istanbul,Zeytinburnu,Beştelsiz,24 Mayıs  2025,7300000
Sahibinden,140.0,3+1,Istanbul,Bahçelievler,Kocasinan,24 Mayıs  2025,4800000
Sahibinden,120.0,3+1,Istanbul,Güngören,Bilinmiyor,24 Mayıs  2025,6800000
Sahibinden,120.0,1+1,Istanbul,Ataşehir,Barbaros,24 Mayıs  2025,21500000
Sahibinden,114.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1800000
Sahibinden,125.0,3+1,Istanbul,Arnavutköy,Bilinmiyor,24 Mayıs  2025,4500000
Sahibinden,70.0,2+1,Istanbul,Zeytinburnu,Merkezefendi,24 Mayıs  2025,3100000
Sahibinden,95.0,2+1,Istanbul,Pendik,Esenyalı,24 Mayıs  2025,3900000
Sahibinden,170.0,4+2,Istanbul,Sancaktepe,Yenidoğan,24 Mayıs  2025,5650000
Sahibinden,145.0,3+1,Istanbul,Beykoz,Anadoluhisarı,24 Mayıs  2025,7400000
Sahibinden,130.0,3+2,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2200000
Sahibinden,118.0,3+1,Istanbul,Fatih,Haseki,24 Mayıs  2025,5500000
Sahibinden,130.0,3+1,Istanbul,Pendik,Çamçeşme,24 Mayıs  2025,5900000
Sahibinden,90.0,2+1,Istanbul,Fatih,Kocamustafapaşa,24 Mayıs  2025,4200000
Sahibinden,120.0,2+1,Istanbul,Esenyurt,Kıraç,24 Mayıs  2025,2600000
Sahibinden,300.0,5+1,Istanbul,Bahçelievler,Yenibosna,24 Mayıs  2025,14950000
Sahibinden,183.0,4+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,9200000
Sahibinden,118.0,2+1,Istanbul,Çekmeköy,Alemdağ(Alemdar),24 Mayıs  2025,9250000
Sahibinden,90.0,2+1,Istanbul,Bayrampaşa,Numunebağ,24 Mayıs  2025,3000000
Sahibinden,100.0,2+1,Istanbul,Küçükçekmece,Halkalı,24 Mayıs  2025,1900000
Sahibinden,95.0,2+1,Istanbul,Bağcılar,Bilinmiyor,24 Mayıs  2025,4100000
Sahibinden,300.0,5+2,Istanbul,Büyükçekmece,Bilinmiyor,24 Mayıs  2025,15800000
Sahibinden,80.0,2+1,Istanbul,Eyüpsultan,Alibeyköy,24 Mayıs  2025,5200000
Sahibinden,300.0,5+2,Istanbul,Bayrampaşa,Numunebağ,24 Mayıs  2025,5200000
Sahibinden,132.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,4980000
Sahibinden,90.0,2+1,Istanbul,Kartal,Rahmanlar (Atalar),24 Mayıs  2025,3500000
Sahibinden,143.0,3+1,Istanbul,Sultangazi,Sultançiftliği,24 Mayıs  2025,2100000
Sahibinden,102.0,3+1,Istanbul,Küçükçekmece,Cennet,24 Mayıs  2025,10400000
Sahibinden,130.0,3+1,Istanbul,Üsküdar,Beylerbeyi,24 Mayıs  2025,10250000
Sahibinden,130.0,3+1,Istanbul,Üsküdar,Beylerbeyi,24 Mayıs  2025,10250000
Sahibinden,100.0,2+1,Istanbul,Bahçelievler,Merkez,24 Mayıs  2025,12500000
Sahibinden,80.0,2+1,Istanbul,Beylikdüzü,Yakuplu,24 Mayıs  2025,2650000
Sahibinden,50.0,1+1,Istanbul,Bayrampaşa,Altıntepsi,24 Mayıs  2025,1990000
Sahibinden,65.0,1+1,Istanbul,Bakırköy,Kartaltepe,24 Mayıs  2025,1420000
Sahibinden,100.0,3+1,Istanbul,Beylikdüzü,Gürpınar,24 Mayıs  2025,4500000
Sahibinden,95.0,2+1,Istanbul,Ümraniye,Esenşehir,24 Mayıs  2025,5350000
Sahibinden,86.0,3+1,Istanbul,Maltepe,Cevizli,24 Mayıs  2025,4300000
Sahibinden,130.0,3+1,Istanbul,Sultangazi,Sultançiftliği,24 Mayıs  2025,7000000
Sahibinden,68.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2550000
Sahibinden,110.0,3+1,Istanbul,Kartal,Yakacık,24 Mayıs  2025,5650000
Sahibinden,205.0,3+2,Istanbul,Gaziosmanpaşa,Küçükköy,24 Mayıs  2025,8200000
Sahibinden,100.0,2+1,Istanbul,Avcılar,Firuzköy,24 Mayıs  2025,3550000
Sahibinden,92.0,2+1,Istanbul,Tuzla,Mimarsinan,24 Mayıs  2025,3650000
Sahibinden,85.0,Stüdyo (1+0),Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,748000
Sahibinden,130.0,3+1,Istanbul,Pendik,Yenişehir,24 Mayıs  2025,7630000
Sahibinden,365.0,5+1,Istanbul,Başakşehir,Bahçeşehir,24 Mayıs  2025,24000000
Sahibinden,150.0,3+1,Istanbul,Başakşehir,Bilinmiyor,24 Mayıs  2025,12600000
Sahibinden,90.0,1+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,1199000
Sahibinden,80.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2200000
Sahibinden,60.0,1+1,Istanbul,Arnavutköy,Boğazköy,24 Mayıs  2025,3875000
Sahibinden,90.0,2+1,Istanbul,Pendik,Esenyalı,24 Mayıs  2025,2750000
Sahibinden,100.0,2+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,2080000
Sahibinden,100.0,2+1,Istanbul,Eyüpsultan,Yeşilpınar,24 Mayıs  2025,5500000
Sahibinden,85.0,2+1,Istanbul,Esenyurt,Haramidere,24 Mayıs  2025,2950000
Sahibinden,88.0,1+1,Istanbul,Tuzla,Tersaneler,24 Mayıs  2025,3400000
Sahibinden,52.0,1+1,Istanbul,Ataşehir,Kayışdağı,24 Mayıs  2025,4500000
Sahibinden,105.0,3+1,Istanbul,Kartal,Yakacık,24 Mayıs  2025,2500000
Sahibinden,110.0,3+1,Istanbul,Gaziosmanpaşa,Kazımkarabekir,24 Mayıs  2025,3650000
Sahibinden,85.0,2+1,Istanbul,Sarıyer,Bilinmiyor,24 Mayıs  2025,7500000
Sahibinden,55.0,1+1,Istanbul,Şişli,Esentepe,24 Mayıs  2025,8950000
Sahibinden,140.0,3+1,Istanbul,Zeytinburnu,Beştelsiz,24 Mayıs  2025,6250000
Sahibinden,80.0,2+1,Istanbul,Küçükçekmece,Sefaköy,24 Mayıs  2025,2750000
Sahibinden,63.0,2+1,Istanbul,Kartal,Esentepe,24 Mayıs  2025,6500000
Sahibinden,70.0,1+1,Istanbul,Beylikdüzü,Yakuplu,24 Mayıs  2025,1925000
Sahibinden,70.0,2+1,Istanbul,Kağıthane,Seyrantepe,24 Mayıs  2025,4200000
Sahibinden,100.0,2+1,Istanbul,Kartal,Soğanlık,24 Mayıs  2025,1925000
Sahibinden,100.0,2+1,Istanbul,Kartal,Soğanlık,24 Mayıs  2025,5950000
Sahibinden,110.0,2+1,Istanbul,Silivri,Bilinmiyor,24 Mayıs  2025,4300000
Sahibinden,95.0,2+1,Istanbul,Gaziosmanpaşa,Küçükköy,24 Mayıs  2025,3000000
Sahibinden,120.0,3+1,Istanbul,Sancaktepe,Samandıra,24 Mayıs  2025,7575000
Sahibinden,120.0,3+1,Istanbul,Küçükçekmece,Merkez,24 Mayıs  2025,2400000
Sahibinden,95.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3500000
Sahibinden,130.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,4000000
Sahibinden,90.0,2+1,Istanbul,Şişli,Okmeydanı,24 Mayıs  2025,1750000
Sahibinden,100.0,2+1,Istanbul,Silivri,Değirmenköy,24 Mayıs  2025,2900000
Sahibinden,110.0,2+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,2675000
Sahibinden,130.0,3+1,Istanbul,Üsküdar,Bulgurlu,24 Mayıs  2025,7550000
Sahibinden,220.0,4+2,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,5600000
Sahibinden,85.0,2+1,Istanbul,Tuzla,Tersaneler,24 Mayıs  2025,5540000
Sahibinden,75.0,2+1,Istanbul,Eyüpsultan,Bilinmiyor,24 Mayıs  2025,2800000
Sahibinden,150.0,3+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3600000
Sahibinden,120.0,2+1,Istanbul,Avcılar,Bilinmiyor,24 Mayıs  2025,2850000
Sahibinden,140.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1000000
Sahibinden,115.0,2+1,Istanbul,Pendik,Yenişehir,24 Mayıs  2025,10500000
Sahibinden,70.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,5100000
Sahibinden,84.0,2+1,Istanbul,Maltepe,Zümrütevler,24 Mayıs  2025,5550000
Sahibinden,239.0,3+2,Istanbul,Gaziosmanpaşa,Bilinmiyor,24 Mayıs  2025,7500000
Sahibinden,90.0,2+1,Istanbul,Üsküdar,Ferah,24 Mayıs  2025,4350000
Sahibinden,70.0,1+1,Istanbul,Kartal,Rahmanlar (Atalar),24 Mayıs  2025,5100000
Sahibinden,60.0,1+1,Istanbul,Bayrampaşa,Altıntepsi,24 Mayıs  2025,2050000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1249000
Sahibinden,95.0,2+1,Istanbul,Çekmeköy,Bilinmiyor,24 Mayıs  2025,6750000
Sahibinden,55.0,1+1,Istanbul,Çekmeköy,Taşdelen,24 Mayıs  2025,5000000
Sahibinden,65.0,1+1,Istanbul,Sancaktepe,Samandıra,24 Mayıs  2025,7200000
Sahibinden,105.0,2+1,Istanbul,Fatih,Kocamustafapaşa,24 Mayıs  2025,4000000
Sahibinden,130.0,4+1,Istanbul,Sultanbeyli,Necipfazıl,24 Mayıs  2025,2750000
Sahibinden,117.0,2+1,Istanbul,Beylikdüzü,Gürpınar,24 Mayıs  2025,4770000
Sahibinden,125.0,2+1,Istanbul,Silivri,Çanta,24 Mayıs  2025,3350000
Sahibinden,110.0,2+1,Istanbul,Sultangazi,Sultançiftliği,24 Mayıs  2025,3500000
Sahibinden,90.0,2+1,Istanbul,Ümraniye,Atakent,24 Mayıs  2025,7775000
Sahibinden,85.0,2+1,Istanbul,Gaziosmanpaşa,Bilinmiyor,24 Mayıs  2025,2450000
Sahibinden,125.0,3+1,Istanbul,Arnavutköy,Bilinmiyor,24 Mayıs  2025,3100000
Sahibinden,85.0,2+1,Istanbul,Bayrampaşa,Altıntepsi,24 Mayıs  2025,2950000
Sahibinden,100.0,2+1,Istanbul,Zeytinburnu,Merkezefendi,24 Mayıs  2025,4299000
Sahibinden,110.0,2+1,Istanbul,Kadıköy,Eğitim,24 Mayıs  2025,5900000
Sahibinden,85.0,2+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,5500000
Sahibinden,205.0,3+2,Istanbul,Ataşehir,Örnek,24 Mayıs  2025,11250000
Sahibinden,85.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2150000
Sahibinden,410.0,4+1,Istanbul,Kadıköy,Suadiye,24 Mayıs  2025,86400000
Sahibinden,94.0,2+1,Istanbul,Avcılar,Ambarlı,24 Mayıs  2025,2370000
Sahibinden,120.0,2+1,Istanbul,Büyükçekmece,Bilinmiyor,24 Mayıs  2025,5300000
Sahibinden,90.0,2+1,Istanbul,Silivri,Çanta,24 Mayıs  2025,2100000
Sahibinden,110.0,3+1,Istanbul,Küçükçekmece,Cennet,24 Mayıs  2025,8250000
Sahibinden,155.0,3+1,Istanbul,Büyükçekmece,Merkez,24 Mayıs  2025,6100000
Sahibinden,200.0,4+2,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,3800000
Sahibinden,105.0,2+1,Istanbul,Esenler,Birlik,24 Mayıs  2025,6500000
Sahibinden,135.0,3+1,Istanbul,Küçükçekmece,Merkez,24 Mayıs  2025,3450000
Sahibinden,180.0,4+2,Istanbul,Eyüpsultan,Alibeyköy,24 Mayıs  2025,8000000
Sahibinden,130.0,3+1,Istanbul,Küçükçekmece,Merkez,24 Mayıs  2025,5500000
Sahibinden,80.0,2+1,Istanbul,Güngören,Sanayi,24 Mayıs  2025,3100000
Sahibinden,165.0,3+1,Istanbul,Kadıköy,Acıbadem,24 Mayıs  2025,27000000
Sahibinden,79.0,2+1,Istanbul,Başakşehir,İkitelli,24 Mayıs  2025,5150000
Sahibinden,123.0,3+1,Istanbul,Bağcılar,Bilinmiyor,24 Mayıs  2025,4500000
Sahibinden,195.0,4+1,Istanbul,Eyüpsultan,Bilinmiyor,24 Mayıs  2025,8500000
Sahibinden,152.0,3+1,Istanbul,Bahçelievler,Yenibosna,24 Mayıs  2025,12750000
Sahibinden,85.0,2+1,Istanbul,Başakşehir,Bilinmiyor,24 Mayıs  2025,4900000
Sahibinden,127.0,2+1,Istanbul,Sancaktepe,Samandıra,24 Mayıs  2025,7650000
Sahibinden,85.0,1+1,Istanbul,Büyükçekmece,Merkez,24 Mayıs  2025,3350000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1750000
Sahibinden,115.0,3+1,Istanbul,Maltepe,Yalı,24 Mayıs  2025,4750000
Sahibinden,160.0,4+1,Istanbul,Kartal,Soğanlık,24 Mayıs  2025,12500000
Sahibinden,160.0,4+1,Istanbul,Kartal,Soğanlık,24 Mayıs  2025,12500000
Sahibinden,80.0,2+1,Istanbul,Tuzla,Aydınlı,24 Mayıs  2025,3400000
Sahibinden,95.0,3+1,Istanbul,Kartal,Rahmanlar (Atalar),24 Mayıs  2025,8500000
Sahibinden,120.0,3+1,Istanbul,Zeytinburnu,Beştelsiz,24 Mayıs  2025,5750000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Haramidere,24 Mayıs  2025,2950000
Sahibinden,160.0,3+1,Istanbul,Sarıyer,Merkez,24 Mayıs  2025,6550000
Sahibinden,230.0,4+1,Istanbul,Arnavutköy,Bilinmiyor,24 Mayıs  2025,8000000
Sahibinden,200.0,5+2,Istanbul,Sancaktepe,Sarıgazi,24 Mayıs  2025,6800000
Sahibinden,86.0,1+1,Istanbul,Küçükçekmece,Halkalı,24 Mayıs  2025,7400000
Sahibinden,98.0,2+1,Istanbul,Gaziosmanpaşa,Bilinmiyor,24 Mayıs  2025,6100000
Sahibinden,180.0,4+2,Istanbul,Eyüpsultan,Bilinmiyor,24 Mayıs  2025,6500000
Sahibinden,170.0,3+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,15500000
Sahibinden,215.0,5+2,Istanbul,Kartal,Rahmanlar (Atalar),24 Mayıs  2025,9800000
Sahibinden,80.0,2+1,Istanbul,Avcılar,Bilinmiyor,24 Mayıs  2025,3350000
Sahibinden,90.0,2+0,Istanbul,Şişli,Harbiye,24 Mayıs  2025,3140000
Sahibinden,85.0,2+1,Istanbul,Büyükçekmece,Celaliye(Kamiloba),24 Mayıs  2025,2000000
Sahibinden,100.0,2+1,Istanbul,Sultanbeyli,Necipfazıl,24 Mayıs  2025,1800000
Sahibinden,218.0,4+1,Istanbul,Zeytinburnu,Merkezefendi,24 Mayıs  2025,24750000
Sahibinden,75.0,2+1,Istanbul,Avcılar,Bilinmiyor,24 Mayıs  2025,1350000
Sahibinden,180.0,4+1,Istanbul,Güngören,Akıncılar,24 Mayıs  2025,13000000
Sahibinden,250.0,4+1,Istanbul,Avcılar,Bilinmiyor,24 Mayıs  2025,22500000
Sahibinden,78.0,2+1,Istanbul,Bağcılar,Kirazlı,24 Mayıs  2025,6499000
Sahibinden,90.0,2+1,Istanbul,Kartal,Rahmanlar (Atalar),24 Mayıs  2025,12250000
Sahibinden,105.0,2+1,Istanbul,Beylikdüzü,Kavaklı,24 Mayıs  2025,2250000
Sahibinden,80.0,1.5+1,Istanbul,Şişli,Harbiye,24 Mayıs  2025,3250000
